"","Dataset","cubist"
"1","Friedman_1",2209.933622862
"2","Friedman_2",734.669832562
"3","Friedman_3",912.691102941
"4","Boston_Housing_fold1",1073.804350527
"5","Boston_Housing_fold2",1040.779027162
"6","Boston_Housing_fold3",1072.83418279
"7","Boston_Housing_fold4",1110.411121669
"8","Boston_Housing_fold5",1182.219583721
"9","Ozone_fold1",386.059858627
"10","Ozone_fold2",401.913765287
"11","Ozone_fold3",372.174394053
"12","Ozone_fold4",403.839655697
"13","Ozone_fold5",420.318060446
"14","Servo_fold1",339.014260378
"15","Servo_fold2",407.536739737
"16","Servo_fold3",544.701752051
"17","Servo_fold4",286.788996335
"18","Servo_fold5",337.948338535
"19","Abalone",1750.427700707
"20","autos",1958.398410156
"21","bike",1816.196451724
"22","artificial-LM-128",219.08745916
"23","artificial-LM-256",407.176327648
"24","artificial-LM-512",887.474767371
"25","artificial-LM-1024",303.440579911
"26","artificial-LM-2048",328.012131066
"27","simulated-Step-Function-128",NA
"28","simulated-Step-Function-256",NA
"29","simulated-Step-Function-512",135.43462228
"30","simulated-Step-Function-1024",162.126846073
"31","simulated-Step-Function-2048",310.258966461
"32","simulated-StepLinear-Function-128",NA
"33","simulated-StepLinear-Function-256",NA
"34","simulated-StepLinear-Function-512",133.00105449
"35","simulated-StepLinear-Function-1024",225.709275566
"36","simulated-StepLinear-Function-2048",336.371781935
