,,RF,RF,RLM,BART,Cubist,RCART,local RF,Ridge RF
1,,forestry,ranger,glmnet,dbarts,Cubist,forestry,grf,forestry
2,Abalone,2.13,2.13,2.3,2.12,2.13,2.12,2.09,2.1
3,autos,NA,2389.33,3390.75,2385.69,2556.72,2780.74,3235.87,2364.98
4,bike,74.11,71.85,144.46,58.57,63.15,76.49,69.38,61.01
5,Boston,NA,3.27,5.24,2.95,3.2,5.13,3.09,3.51
6,Friedman 1,1.91,1.9,2.72,1.21,1.24,1.45,1.9,1.26
7,Friedman 2,595.95,596.1,953.33,630.97,586.69,601.39,594.38,587.84
8,Friedman 3,0.32,0.32,0.37,0.32,0.32,0.32,0.32,0.32
9,Ozone,4.03,4.04,4.72,4.12,4.4,4.61,4.14,4.04
10,Servo,0.55,0.5,1.18,0.58,0.64,0.8,0.41,0.51
